gendistrict,hood,category,count
INGLESIDE,Glen Park,LOITERING,1
INGLESIDE,Glen Park,MISSING PERSON,22
INGLESIDE,Glen Park,NON-CRIMINAL,79
INGLESIDE,Glen Park,OTHER OFFENSES,88
INGLESIDE,Glen Park,RECOVERED VEHICLE,2
INGLESIDE,Glen Park,ROBBERY,3
INGLESIDE,Glen Park,SECONDARY CODES,7
INGLESIDE,Glen Park,"SEX OFFENSES, FORCIBLE",4
INGLESIDE,Glen Park,SUSPICIOUS OCC,21
INGLESIDE,Glen Park,TRESPASS,4
INGLESIDE,Glen Park,VANDALISM,31
INGLESIDE,Glen Park,VEHICLE THEFT,57
INGLESIDE,Glen Park,WARRANTS,6
INGLESIDE,Glen Park,WEAPON LAWS,1
INGLESIDE,Mission,BURGLARY,1
INGLESIDE,Mission,DRUG/NARCOTIC,2
INGLESIDE,Mission,OTHER OFFENSES,2
INGLESIDE,Mission,STOLEN PROPERTY,1
INGLESIDE,Mission,WARRANTS,1
INGLESIDE,Noe Valley,ASSAULT,18
INGLESIDE,Noe Valley,BRIBERY,1
INGLESIDE,Noe Valley,BURGLARY,38
INGLESIDE,Noe Valley,DRIVING UNDER THE INFLUENCE,1
INGLESIDE,Noe Valley,DRUG/NARCOTIC,2
INGLESIDE,Noe Valley,FORGERY/COUNTERFEITING,2
INGLESIDE,Noe Valley,FRAUD,7
INGLESIDE,Noe Valley,KIDNAPPING,1
INGLESIDE,Noe Valley,LARCENY/THEFT,102
INGLESIDE,Noe Valley,MISSING PERSON,6
