category,hood,weekday,month,hour,count
FRAUD,SouthEast,5,04,01,1
THEFT,Center,7,11,00,9
FRAUD,Center,1,04,04,1
SEX,NorthEast,1,10,11,2
THEFT,Center,7,05,12,6
OTHER,Center,1,01,18,6
THEFT,NorthWest,5,09,15,6
SEX,SouthEast,1,01,14,1
OTHER,NorthWest,2,11,19,7
DRUG/ALC,NorthEast,6,02,08,2
DRUG/ALC,NorthWest,5,03,03,1
CONDUCT,NorthEast,2,09,06,4
CONDUCT,SouthWest,5,04,00,2
OTHER,NorthEast,1,01,17,21
TRESPASSING,SouthEast,3,07,19,1
THEFT,Center,4,07,00,3
FRAUD,Center,3,07,00,2
OTHER,NorthEast,6,03,09,9
SEX,Center,3,08,06,2
CONDUCT,NorthEast,5,05,13,2
OTHER,SouthEast,7,07,04,2
THEFT,SouthWest,7,02,06,2
DRUG/ALC,Center,2,02,03,1
OTHER,Center,4,11,07,4
DRUG/ALC,NorthEast,5,10,01,2
SEX,NorthEast,2,02,14,3
TRESPASSING,NorthEast,4,03,05,1
THEFT,NorthEast,6,05,21,27
OTHER,NorthWest,2,08,18,2
THEFT,SouthEast,7,12,09,1
THEFT,NorthWest,5,05,20,6
OTHER,SouthEast,3,02,13,2
THEFT,NorthEast,7,06,03,4
SEX,NorthEast,5,02,00,4
OTHER,Center,5,10,12,8
OTHER,NorthEast,7,04,20,5
OTHER,SouthEast,2,02,17,5
THEFT,NorthEast,1,05,06,6
OTHER,NorthWest,3,01,15,8
DRUG/ALC,NorthEast,6,12,22,3
DRUG/ALC,NorthEast,1,10,07,3
OTHER,NorthWest,2,03,19,1
THEFT,Center,1,02,16,7
DRUG/ALC,NorthEast,1,09,07,2
THEFT,Center,7,03,00,5
OTHER,NorthWest,7,05,15,5
OTHER,Center,5,09,12,9
OTHER,Center,5,02,19,5
OTHER,SouthWest,3,02,17,2
OTHER,SouthEast,4,03,04,2
THEFT,NorthWest,7,02,14,6
THEFT,SouthEast,5,04,10,1
OTHER,NorthEast,6,11,09,9
OTHER,Center,4,03,07,4
THEFT,NorthEast,5,04,15,15
CONDUCT,NorthWest,3,01,11,1
OTHER,SouthWest,2,02,13,1
OTHER,NorthWest,3,07,22,5
OTHER,NorthWest,3,05,08,3
DRUG/ALC,NorthEast,5,09,01,4
TRESPASSING,NorthEast,4,11,05,1
OTHER,SouthEast,4,02,21,3
OTHER,NorthWest,7,09,20,2
CONDUCT,NorthEast,2,10,06,1
DRUG/ALC,NorthEast,5,12,16,2
CONDUCT,Center,2,07,01,2
THEFT,NorthWest,5,10,15,2
FRAUD,Center,4,01,12,5
THEFT,Center,3,01,12,6
CONDUCT,SouthEast,6,04,01,1
SEX,NorthEast,1,09,11,3
DRUG/ALC,NorthEast,3,07,14,3
DRUG/ALC,Center,1,10,21,2
DRUG/ALC,NorthEast,6,07,01,1
THEFT,Center,2,09,10,5
OTHER,NorthEast,3,04,16,29
THEFT,SouthWest,1,04,18,8
OTHER,Center,6,07,12,8
DRUG/ALC,SouthEast,6,03,08,1
SEX,SouthWest,3,11,14,1
OTHER,SouthEast,6,02,09,2
OTHER,SouthEast,2,04,12,6
OTHER,Center,2,03,18,9
SEX,NorthEast,5,08,14,3
OTHER,NorthEast,4,11,21,17
MISSING PERSONS,NorthEast,7,04,01,3
OTHER,NorthWest,3,10,16,4
OTHER,NorthEast,3,03,13,21
MISSING PERSONS,NorthWest,1,07,12,1
TRESPASSING,NorthEast,4,11,23,1
TRESPASSING,NorthEast,2,12,08,1
OTHER,SouthWest,6,12,06,1
MISSING PERSONS,NorthEast,1,08,09,2
OTHER,NorthWest,5,02,18,4
FRAUD,NorthEast,2,07,06,2
THEFT,NorthWest,6,01,22,6
OTHER,NorthEast,2,03,17,23
