category,hood,weekday,month,hour,count
OTHER,SouthEast,4,01,21,1
THEFT,NorthEast,4,01,15,1
OTHER,SouthEast,4,01,23,1
MISSING PERSONS,SouthEast,4,01,14,1
MISSING PERSONS,SouthEast,4,01,14,1
THEFT,NorthEast,4,01,19,1
OTHER,SouthEast,4,01,22,1
OTHER,NorthEast,4,01,23,1
SEX,NorthEast,5,01,00,1
SEX,NorthEast,5,01,00,1
OTHER,NorthWest,5,01,00,1
THEFT,NorthWest,4,01,22,1
OTHER,NorthWest,4,01,22,1
SEX,NorthEast,4,01,20,1
OTHER,NorthEast,5,01,01,1
THEFT,NorthEast,4,01,21,1
OTHER,NorthEast,5,01,01,1
CONDUCT,NorthEast,5,01,01,1
DRUG/ALC,NorthEast,5,01,01,1
FRAUD,NorthEast,5,01,01,1
TRESPASSING,NorthEast,5,01,01,1
THEFT,NorthEast,5,01,01,1
OTHER,NorthEast,5,01,01,1
CONDUCT,SouthWest,5,01,01,1
THEFT,Center,5,01,01,1
OTHER,NorthWest,5,01,01,1
DRUG/ALC,NorthWest,5,01,01,1
THEFT,Center,5,01,02,1
CONDUCT,Center,5,01,02,1
OTHER,SouthEast,5,01,02,1
THEFT,NorthEast,4,01,07,1
THEFT,NorthEast,4,01,22,1
SEX,NorthEast,4,01,08,1
OTHER,NorthEast,5,01,03,1
SEX,NorthEast,5,01,03,1
OTHER,NorthEast,5,01,03,1
OTHER,NorthWest,5,01,03,1
TRESPASSING,NorthEast,5,01,03,1
THEFT,NorthEast,5,01,03,1
OTHER,NorthEast,5,01,03,1
OTHER,NorthEast,5,01,03,1
THEFT,NorthEast,5,01,01,1
OTHER,NorthEast,5,01,03,1
OTHER,NorthEast,5,01,03,1
OTHER,NorthEast,5,01,03,1
MISSING PERSONS,Center,1,01,16,1
THEFT,SouthWest,5,01,04,1
THEFT,SouthWest,5,01,04,1
THEFT,NorthEast,4,01,21,1
THEFT,SouthEast,5,01,05,1
OTHER,NorthEast,5,01,05,1
THEFT,SouthEast,5,01,05,1
THEFT,NorthEast,5,01,05,1
THEFT,NorthEast,5,01,05,1
OTHER,NorthEast,5,01,05,1
OTHER,NorthEast,5,01,06,1
OTHER,NorthEast,5,01,06,1
SEX,NorthEast,5,01,07,1
OTHER,NorthEast,5,01,07,1
OTHER,NorthEast,4,01,17,1
THEFT,NorthWest,4,01,19,1
THEFT,NorthEast,5,01,07,1
CONDUCT,NorthEast,5,01,06,1
OTHER,NorthEast,5,01,07,1
OTHER,NorthEast,5,01,07,1
OTHER,NorthEast,5,01,07,1
DRUG/ALC,Center,5,01,06,1
DRUG/ALC,Center,5,01,06,1
THEFT,NorthEast,4,01,19,1
FRAUD,NorthEast,4,01,19,1
DRUG/ALC,SouthEast,5,01,07,1
OTHER,SouthWest,5,01,08,1
CONDUCT,NorthWest,5,01,14,1
OTHER,NorthEast,5,01,06,1
OTHER,Center,7,01,12,1
SEX,NorthEast,5,01,08,1
TRESPASSING,NorthEast,5,01,08,1
OTHER,SouthEast,5,01,08,1
FRAUD,SouthEast,4,01,14,1
SEX,NorthEast,4,01,15,1
THEFT,NorthEast,4,01,11,1
FRAUD,NorthEast,4,01,11,1
SEX,SouthEast,5,01,08,1
SEX,SouthEast,5,01,08,1
MISSING PERSONS,SouthEast,5,01,08,1
OTHER,SouthEast,5,01,08,1
THEFT,NorthEast,4,01,15,1
OTHER,SouthWest,5,01,09,1
THEFT,NorthEast,4,01,12,1
OTHER,NorthEast,5,01,09,1
OTHER,NorthEast,5,01,09,1
OTHER,NorthEast,5,01,09,1
OTHER,Center,5,01,07,1
OTHER,NorthEast,3,01,10,1
CONDUCT,NorthEast,5,01,08,1
TRESPASSING,NorthEast,5,01,08,1
THEFT,NorthEast,4,01,18,1
OTHER,SouthEast,5,01,10,1
OTHER,NorthEast,5,01,10,1
THEFT,NorthWest,4,01,19,1
THEFT,SouthEast,1,01,05,1
THEFT,NorthEast,4,01,08,1
THEFT,NorthEast,4,01,03,1
OTHER,NorthWest,3,01,19,1
SEX,NorthEast,5,01,10,1
FRAUD,NorthEast,5,01,10,1
OTHER,SouthEast,5,01,08,1
OTHER,NorthEast,5,01,09,1
THEFT,Center,5,01,10,1
OTHER,NorthEast,5,01,10,1
OTHER,Center,5,01,11,1
THEFT,NorthEast,5,01,09,1
OTHER,NorthEast,5,01,11,1
CONDUCT,Center,5,01,11,1
FRAUD,SouthEast,5,01,11,1
