hood,category,count
Outer Mission,SECONDARY CODES,49
Outer Mission,DRUG/NARCOTIC,47
Outer Mission,WEAPON LAWS,38
Outer Mission,FRAUD,31
Outer Mission,"SEX OFFENSES, FORCIBLE",22
Outer Mission,FORGERY/COUNTERFEITING,16
Outer Mission,TRESPASS,16
Outer Mission,RECOVERED VEHICLE,14
Outer Mission,STOLEN PROPERTY,12
Outer Mission,KIDNAPPING,9
Outer Mission,DRIVING UNDER THE INFLUENCE,7
Outer Mission,ARSON,6
Outer Mission,DRUNKENNESS,6
Outer Mission,SUICIDE,6
Outer Mission,DISORDERLY CONDUCT,3
Outer Mission,GAMBLING,3
Outer Mission,LIQUOR LAWS,2
Outer Mission,"SEX OFFENSES, NON FORCIBLE",2
Outer Mission,EXTORTION,2
Outer Mission,BRIBERY,2
Outer Mission,RUNAWAY,2
Outer Mission,BAD CHECKS,1
Outer Mission,PORNOGRAPHY/OBSCENE MAT,1
Outer Mission,EMBEZZLEMENT,1
Outer Mission,LOITERING,1
Outer Richmond,LARCENY/THEFT,580
Outer Richmond,NON-CRIMINAL,317
Outer Richmond,OTHER OFFENSES,284
Outer Richmond,ASSAULT,151
Outer Richmond,VEHICLE THEFT,142
Outer Richmond,VANDALISM,134
Outer Richmond,BURGLARY,122
Outer Richmond,SUSPICIOUS OCC,101
Outer Richmond,MISSING PERSON,77
Outer Richmond,SECONDARY CODES,64
Outer Richmond,FRAUD,59
Outer Richmond,WARRANTS,44
Outer Richmond,ROBBERY,30
Outer Richmond,WEAPON LAWS,21
Outer Richmond,DRUG/NARCOTIC,20
Outer Richmond,STOLEN PROPERTY,18
Outer Richmond,"SEX OFFENSES, FORCIBLE",16
Outer Richmond,TRESPASS,13
Outer Richmond,DRIVING UNDER THE INFLUENCE,10
Outer Richmond,FORGERY/COUNTERFEITING,10
Outer Richmond,RECOVERED VEHICLE,9
Outer Richmond,DISORDERLY CONDUCT,6
Outer Richmond,ARSON,6
Outer Richmond,RUNAWAY,5
Outer Richmond,DRUNKENNESS,5
Outer Richmond,PROSTITUTION,2
Outer Richmond,KIDNAPPING,2
Outer Richmond,EXTORTION,2
