category,hood,weekday,month,hour,count
THEFT,NorthEast,7,04,10,16
THEFT,NorthEast,6,12,17,41
SEX,NorthEast,5,09,10,4
OTHER,NorthEast,6,01,03,9
THEFT,NorthWest,1,01,14,5
SEX,SouthEast,5,09,15,2
SEX,SouthWest,1,10,19,4
THEFT,NorthWest,6,06,08,2
MISSING PERSONS,SouthEast,3,06,06,2
OTHER,SouthEast,1,05,13,7
OTHER,Center,2,01,08,7
SEX,SouthEast,7,08,14,2
OTHER,Center,7,08,18,10
THEFT,NorthWest,6,12,19,5
DRUG/ALC,SouthWest,2,01,02,1
OTHER,NorthEast,6,10,04,9
OTHER,SouthEast,5,07,21,7
SEX,NorthEast,1,02,16,4
THEFT,Center,7,01,16,10
THEFT,NorthWest,1,09,05,1
SEX,NorthEast,7,03,00,3
OTHER,Center,3,08,23,3
THEFT,NorthEast,3,02,06,9
OTHER,NorthEast,7,08,17,14
OTHER,NorthWest,3,11,05,1
THEFT,NorthWest,2,11,00,2
THEFT,Center,2,08,14,7
OTHER,NorthWest,2,07,07,2
SEX,NorthWest,7,12,09,1
SEX,SouthEast,5,05,20,1
SEX,NorthEast,3,01,12,5
THEFT,SouthWest,3,06,03,4
SEX,SouthWest,1,08,12,3
OTHER,Center,7,11,19,9
OTHER,Center,3,11,11,7
OTHER,NorthWest,6,09,07,4
THEFT,NorthWest,2,05,12,3
THEFT,Center,1,09,11,4
THEFT,SouthEast,1,04,11,4
OTHER,NorthWest,1,08,08,5
OTHER,Center,2,10,20,3
OTHER,SouthWest,3,04,20,4
OTHER,NorthWest,2,05,10,4
OTHER,Center,4,07,19,2
THEFT,Center,5,08,00,3
THEFT,NorthWest,5,11,14,6
DRUG/ALC,NorthEast,4,05,16,1
OTHER,Center,4,04,09,4
SEX,SouthEast,2,01,16,3
OTHER,SouthEast,4,09,09,4
OTHER,NorthEast,4,06,13,26
MISSING PERSONS,Center,5,12,16,1
THEFT,NorthEast,7,07,16,46
OTHER,SouthWest,5,12,19,2
OTHER,Center,3,12,17,10
THEFT,SouthWest,4,09,18,1
THEFT,SouthEast,2,06,20,8
THEFT,,1,09,07,1
SEX,NorthWest,6,10,16,4
SEX,NorthEast,6,03,13,2
OTHER,NorthEast,7,12,23,7
OTHER,SouthWest,5,06,08,12
MISSING PERSONS,NorthEast,7,09,18,2
OTHER,SouthEast,2,03,01,3
OTHER,NorthEast,5,08,01,2
